Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0980508893478838,0.00128963247042391,-0.037603625628579,0,0,0,2.79169679558094,0.00516764328916238,-1.46573682205778E-06,-8.28317308722288E-06,0.00582766417335301,-3.31789538661826E-07,0.010461126108079,0,0,0,0,0,0,package://susfix/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://susfix/meshes/base_link.STL,,body_re-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,-0.00492509860290247,-0.0606579498799667,0.0581187616681716,0,0,0,0.0606810735326678,1.7187359000971E-05,-1.64845302056313E-08,1.56454773175207E-07,1.57906996487927E-05,-2.96411876510945E-09,1.34932513987566E-05,0,0,0,0,0,0,package://susfix/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://susfix/meshes/LFS.STL,,longsus_R-1,Origin_LFS,Axis_LFS,LFS,prismatic,-0.0805,0.13497,-0.0645,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
LFW,0.0150000000000131,4.84334794492725E-15,-3.34107741473133E-15,0,0,0,0.239316435984071,0.00030040943490763,1.02224551970788E-17,-7.08151599885858E-18,0.00016815345015262,0,0.00016815345015262,0,0,0,0,0,0,package://susfix/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://susfix/meshes/LFW.STL,,wheel-3,Origin_LFW,Axis_LFW,LFW,continuous,0.012782,-0.0698,0.07,0.60571,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.00492509860290534,-0.0606579498799679,0.0581187616681716,0,0,0,0.0606810735326679,1.7187359000971E-05,-1.64845302056318E-08,1.56454773175214E-07,1.57906996487927E-05,-2.96411876510749E-09,1.34932513987566E-05,0,0,0,0,0,0,package://susfix/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://susfix/meshes/RFS.STL,,longsus_R-2,Origin_RFS,Axis_RFS,RFS,prismatic,-0.0805,-0.12503,-0.0645,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RFW,-0.015,3.46944695195361E-18,-6.93889390390723E-18,0,0,0,0.239316435984071,0.000300409434907629,-3.49796882568523E-37,-1.34995875968628E-23,0.00016815345015262,2.50270380226143E-39,0.00016815345015262,0,0,0,0,0,0,package://susfix/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://susfix/meshes/RFW.STL,,wheel-4,Origin_RFW,Axis_RFW,RFW,continuous,-0.022718,-0.069799,0.07,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,7.74380559676047E-15,-0.0740829550098917,-2.77555756156289E-17,0,0,0,0.249098381596498,0.000126903429659009,-9.46012696995169E-22,-1.45013701904976E-13,0.000155566169476371,-3.29611340564545E-20,0.000127067954523872,0,0,0,0,0,0,package://susfix/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://susfix/meshes/LBS.STL,,ball_revo-1,Origin_LBS,Axis_LBS,LBS,prismatic,-0.1735,0.13,-0.0645,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
LBW,4.5474041199256E-14,7.79931674799172E-15,-3.91353616180368E-15,0,0,0,0.175020843969803,4.38252193300387E-05,1.0730365023991E-21,-4.2351647362715E-22,4.41752610179783E-05,-7.15434183520368E-25,4.38252193300387E-05,0,0,0,0,0,0,package://susfix/meshes/LBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://susfix/meshes/LBW.STL,,alball-1,Origin_LBW,Axis_LBW,LBW,continuous,0,-0.0948,0,0,-0.08531,-1.5708,LBS,0,1,0,,,,,,,,,,,,
RBS,6.59194920871187E-17,-0.0740829550098979,0,0,0,0,0.249098381596498,0.000126903429659009,8.39796543164101E-21,-1.45013679846871E-13,0.000155566169476371,-3.34497762084321E-20,0.000127067954523872,0,0,0,0,0,0,package://susfix/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://susfix/meshes/RBS.STL,,ball_revo-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.1735,-0.13,-0.0645,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RBW,1.2490009027033E-16,1.04083408558608E-17,0,0,0,0,0.175020843969803,4.38252193300386E-05,1.28787036463945E-22,3.5143906166457E-35,4.41752610179783E-05,9.71560853823021E-23,4.38252193300387E-05,0,0,0,0,0,0,package://susfix/meshes/RBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://susfix/meshes/RBW.STL,,alball-2,Origin_RBW,Axis_RBW,RBW,continuous,0,-0.0948,0,0,0,-1.5708,RBS,0,1,0,,,,,,,,,,,,
Fcam,0.000445525090231214,-1.10631679103995E-05,0.00129821973144115,0,0,0,0.0436119950287126,2.35707058046398E-05,-1.01813691700484E-09,2.17579681215262E-08,4.29479133591149E-06,-8.85791114059956E-10,2.21058141232446E-05,0,0,0,0,0,0,package://susfix/meshes/Fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://susfix/meshes/Fcam.STL,,Webcam_C920-1,fcam,,Fcam,fixed,0.0145,0,0.041992,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Bcam,0.000445525343312589,-1.10630004969969E-05,0.00129821972548663,0,0,0,0.0436119949785284,2.35707056099597E-05,-1.01834758008057E-09,2.17579332532571E-08,4.29479078276671E-06,-8.85484503910004E-10,2.21058144654636E-05,0,0,0,0,0,0,package://susfix/meshes/Bcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://susfix/meshes/Bcam.STL,,Webcam_C920-2,bcam,,bcam,fixed,0.007419,0,0.0067119,0,0.7854,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.0135233599493309,0.000461956334254526,-0.0287648857829249,0,0,0,0.0730845705624479,1.95808756988661E-05,-1.03933601133523E-07,-4.28391197019757E-07,2.41250079762067E-05,9.42707770970367E-09,4.14184516310608E-05,0,0,0,0,0,0,package://susfix/meshes/Lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://susfix/meshes/Lidar.STL,,RPLidar-1,lidar,,Lidar,fixed,-0.16408,-0.00099405,0.1135,0,0,0,base_link,0,0,0,,,,,,,,,,,,
